Query       	qlen	Templa 	alnlen	preTMS	preTMS2	Z-score	SID	Description
WP_010938012.1	213	6P0E_A	198	0.8123	0.2886	8.773	10.1%	| DNA ligase 1/DNA Complex; protein-DNA complex, phosphotransferase, OB fold; HET: 8OG, PEG, AMP, TRS; 1.85A {Homo sapiens}
WP_010938446.1	348	5V8D_A	304	0.8081	0.7745	12.555	16.1%	| Bacillus cereus PatB1; acetyltransferase, cell wall, SGNH hydrolase-like; HET: OSE, SO4; 2.001A {Bacillus cereus (strain ATCC 10987 / NRS 248)}
WP_010939932.1	158	6PSY_A	156	0.8079	0.1073	5.806	21.2%	| eukaryotic lipid flippase Drs2-Cdc50 (E.C.; complex, phospholipid flippase, P-type ATPase; HET: NAG;{Saccharomyces cerevisiae W303}
WP_010938421.1	494	3EZK_E	431	0.8076	0.6967	11.719	11.8%	| DNA packaging protein Gp17; pentameric motor, DNA packaging, Alternative; 34.0A {Bacteriophage T4}
WP_010938409.1	148	6GKX_A	139	0.8070	0.8218	6.123	10.1%	| Putative phage XkdM-like protein; Diffocin Tube, Structural protein; 1.5A {Peptoclostridium difficile (strain 630)}
WP_010939755.1	354	5IR6_A	344	0.8065	0.6523	9.848	12.2%	| Bd-type quinol oxidase subunit I; bd oxidase, terminal oxidase, oxidoreductase; HET: HDD, HEB; 3.8A {Geobacillus stearothermophilus K1041}
WP_010937683.1	88	3HD5_B	88	0.8057	0.4042	3.734	11.4%	| Thiol:disulfide interchange protein dsbA; dsbA, Protein Structure Initiative II(PSI; HET: MSE; 2.35A {Bordetella parapertussis}
WP_010939880.1	519	3EZK_E	475	0.8048	0.7292	11.756	9.9%	| DNA packaging protein Gp17; pentameric motor, DNA packaging, Alternative; 34.0A {Bacteriophage T4}
WP_010937746.1	96	1MWQ_A	85	0.8035	0.7674	4.525	24.7%	| HYPOTHETICAL PROTEIN HI0828; HI0828, YCII_HAEIN, hypothetical protein, structural; HET: MSE, 1PE; 0.99A {Haemophilus influenzae} SCOP: d.58.4.7
WP_010940344.1	81	2HW4_A	81	0.8028	0.4916	5.237	11.1%	| 14 kDa phosphohistidine phosphatase (E.C.3.1.3.-); phosphohistidine, phosphatase, phpt1, human, Structural; HET: FMT; 1.9A {Homo sapiens} SCOP: d.322.1.1
WP_010940655.1	315	6AN0_A	313	0.8012	0.5843	8.998	9.6%	| Histidinol dehydrogenase (E.C.1.1.1.23); SSGCID, Elizabethkingia anophelis NUHP1, dehydrogenase; HET: HIS, IOD, EDO; 1.85A {Elizabethkingia anophelis NUHP1}
WP_010940526.1	420	6LRH_A	354	0.7985	0.4842	12.589	33.9%	| arginine-guanidine removing enzyme; arginine dihydrolase, bifunctional enzyme, GME; HET: ARG; 2.70510472826A {Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)}
WP_010938782.1	116	6TEH_A	113	0.7985	0.4756	5.127	10.6%	| Hub protein Rcc01696, Distal tail; "baseplate", "tail", "oligosaccharide-binding fold", "hub"; 3.99A {Rhodobacter capsulatus}
WP_010937991.1	166	5ANP_A	160	0.7980	0.5051	7.466	9.4%	| BA41; ANTARCTIC BACTERIA, BA41, UNKNOWN FUNCTION; 1.4A {BIZIONIA ARGENTINENSIS}
WP_010940012.1	314	6R77_A	279	0.7915	0.6840	9.803	9.7%	| Proline racemase; trans-3-Hydroxy-L-proline dehydratase, lyase, hydro-lyase, hydroxyproline; HET: HY3; 2.0A {Thermococcus litoralis}
WP_010939108.1	251	2VDC_F	235	0.7897	0.1515	9.869	23.8%	| GLUTAMATE SYNTHASE [NADPH] LARGE CHAIN; OXIDOREDUCTASE, AMIDOTRANSFERASE, AMMONIA ASSIMILATION, NADP; HET: OMT, F3S, FMN, FAD, AKG, SF4; 9.5A {AZOSPIRILLUM BRASILENSE} SCOP: d.153.1.1, b.80.4.1, c.1.4.1
WP_164928115.1	81	2D9K_A	75	0.7856	0.8399	5.480	14.7%	| FLN29 gene product; FLN29, zinc finger, zf-TRAF, Structural; HET: ZN; NMR {Homo sapiens}
WP_010940259.1	396	4NES_A	359	0.7853	0.8265	8.699	12.8%	| UDP-N-acetylglucosamine 2-epimerase (E.C.5.1.3.14); UDP-glycosyltransferase/glycogen phosphorylase fold, UDP-GlcNAc 2-epimerase; HET: UD1, UDP, MSE; 1.42A {Methanocaldococcus jannaschii}
WP_010938400.1	218	5IV5_EA	217	0.7801	0.2933	5.428	12.0%	| Baseplate wedge protein gp6, Baseplate; T4, baseplate-tail tube complex, pre-attachment; 4.11A {Enterobacteria phage T4}
WP_010939320.1	95	1BRT_A	95	0.7791	0.3071	3.962	10.5%	| BROMOPEROXIDASE A2; HALOPEROXIDASE, OXIDOREDUCTASE, PEROXIDASE, ALPHA/BETA HYDROLASE; 1.5A {Streptomyces aureofaciens} SCOP: c.69.1.12
WP_010940332.1	303	4ATN_A	301	0.7775	0.6432	7.716	19.9%	| RIBOSOMAL RNA LARGE SUBUNIT METHYLTRANSFERASE; TRANSFERASE; HET: EDO, GOL, SO4; 1.95A {ESCHERICHIA COLI}
WP_010939865.1	191	4R9M_A	186	0.7756	0.7142	7.931	10.2%	| Spermidine N(1)-acetyltransferase (E.C.2.3.1.57); Structural Genomics, NIAID, National Institute; 2.9A {Escherichia coli}
WP_010939012.1	534	3EZK_E	471	0.7717	0.7180	11.066	10.8%	| DNA packaging protein Gp17; pentameric motor, DNA packaging, Alternative; 34.0A {Bacteriophage T4}
WP_010938847.1	150	1H21_D	146	0.7704	0.4969	5.561	15.8%	| SPLIT-SORET CYTOCHROME C; CYTOCHROME, DIMERIC DI-HEME CYTOCHROME, STACKED; HET: HEC; 2.5A {DESULFOVIBRIO DESULFURICANS} SCOP: a.138.1.3
WP_010937574.1	219	3IR7_C	190	0.7689	0.7501	8.324	20.5%	| Respiratory nitrate reductase 1 alpha; Oxidoreductase, Nitrate reductase, electron transfer; HET: HEM, FME, SF4, MD1, AGA; 2.5A {Escherichia coli K-12}
WP_010937347.1	151	3LAY_J	147	0.7672	0.6754	5.978	21.8%	| Zinc resistance-associated protein; Zinc resistance-associated protein, Salmonella typhimurium; 2.7A {Salmonella enterica subsp. enterica serovar Typhimurium}
WP_010939005.1	133	3J4U_K	121	0.7633	0.7305	4.421	16.5%	| major capsid protein, cementing protein; protein topology, cryoEM, VIRUS; 3.5A {Bordetella phage BPP-1}
WP_010940110.1	287	2X7V_A	266	0.7623	0.7623	6.916	11.3%	| PROBABLE ENDONUCLEASE 4 (E.C.3.1.21.2); DNA REPAIR PROTEIN, METAL-BINDING, HYDROLASE; 2.3A {THERMOTOGA MARITIMA MSB8}
WP_010938407.1	110	3FGX_A	110	0.7605	0.7379	7.806	20.0%	| RBSTP2171; STRUCTURAL GENOMICS BACILLUS STEAROTHERMOPHILUS; 2.9A {BACILLUS STEAROTHERMOPHILUS}
WP_011176606.1	136	5EJ1_A	136	0.7592	0.1666	4.899	15.4%	| Putative cellulose synthase (E.C.2.4.1.12), poly(unk); cellulose biosynthesis, glycosyltransferase, membrane transport; HET: C2E, BGC, 3PE, XP5; 3.4A {Rhodobacter sphaeroides (strain ATCC 17023 / 2.4.1 / NCIB 8253 / DSM 158)}
WP_010937917.1	93	6I52_B	91	0.7585	0.5616	4.040	13.2%	| Replication factor A protein 3; Complex, heterotrimer, DNA binding, OB-fold; 4.7A {Saccharomyces cerevisiae (strain ATCC 204508 / S288c)}
WP_010937551.1	125	1O13_A	120	0.7573	0.7051	4.957	26.7%	| probable NifB protein that is; Ribonuclease h-like motif fold, structural; 1.83A {Thermotoga maritima} SCOP: c.55.5.1
WP_010938780.1	142	4FDY_B	120	0.7560	0.3607	6.882	19.2%	| Similar to lipoprotein, NLP/P60 family; Slt/lysozyme-like muramidase, NlpC/P60 LD endopeptidase; HET: MSE, OCS; 2.23A {Staphylococcus aureus subsp. aureus}
WP_010939654.1	222	6XJH_B	215	0.7537	0.6465	8.304	6.5%	| Phenol-soluble modulin export ABC transporter; ABC transporter, ABC exporter, Peptide; HET: AGS;{Staphylococcus aureus}
WP_010938518.1	175	5JZV_A	166	0.7532	0.6555	4.691	16.3%	| Adenylate kinase isoenzyme 6 (E.C.2.7.4.3); ATPASE, ADENYLATE KINASE, TRANSFERASE; HET: ADP; 2.07A {Homo sapiens}
WP_010939062.1	293	5Y6F_A	235	0.7487	0.8480	6.899	12.8%	| Flagellar brake protein YcgR; C-di-GMP binding, Flagellar brake protein; HET: C2E; 2.3A {Escherichia coli (strain K12)}
WP_010938691.1	85	6S7X_B	83	0.7486	0.4164	4.656	9.6%	| Activity-regulated cytoskeleton associated protein 1; Capsid Retrotransposon Trafficking Exapted, NEUROPEPTIDE; HET: MSE; 1.7A {Drosophila melanogaster}
WP_010939023.1	47	3U97_A	42	0.7485	0.3439	3.021	31.0%	| Ribonuclease toxin BrnT (E.C.3.1.27.1); RNAse Sa/RelE small ribonuclease fold; 1.102A {Brucella abortus}
WP_010937920.1	96	2K5V_A	94	0.7476	0.6994	4.112	7.4%	| Replication protein A; solution NMR structure, replication protein; NMR {Methanococcus maripaludis}
WP_010939692.1	109	3ZNU_G	92	0.7464	0.8515	4.396	19.6%	| 5-CHLOROMUCONOLACTONE DEHALOGENASE; LYASE, FERREDOXIN FOLD, ISOMERASE, 3-CHLOROCATECHOL; HET: CL, EDO; 1.65A {RHODOCOCCUS OPACUS}
WP_010938143.1	76	2IC6_B	76	0.7450	0.7307	3.674	10.5%	| Nucleocapsid protein; Sin Nombre Virus, Hantavirus, Bunyaviridae; 1.15A {Sin Nombre virus}
WP_010939433.1	121	6TEH_A	118	0.7438	0.4671	5.257	12.7%	| Hub protein Rcc01696, Distal tail; "baseplate", "tail", "oligosaccharide-binding fold", "hub"; 3.99A {Rhodobacter capsulatus}
WP_010938515.1	731	3UCQ_A	629	0.7408	0.8195	15.290	12.7%	| Amylosucrase (E.C.2.4.1.4); thermostability, amylose synthesis, sucrose isomerization; HET: GOL; 1.97A {Deinococcus geothermalis}
WP_011792671.1	111	6IUH_B	111	0.7392	0.6464	4.259	9.9%	| ARF GTPase-activating protein GIT1, Liprin-alpha-2; Complex, PROTEIN BINDING; 1.8A {Rattus norvegicus}
WP_010937838.1	226	3IR7_C	187	0.7333	0.7363	8.093	20.3%	| Respiratory nitrate reductase 1 alpha; Oxidoreductase, Nitrate reductase, electron transfer; HET: HEM, FME, SF4, MD1, AGA; 2.5A {Escherichia coli K-12}
WP_014524594.1	290	6IWR_E	270	0.7324	0.3837	7.999	9.6%	| N-acetylgalactosaminyltransferase 7 (E.C.2.4.1.-); Polypeptide N Acetylgalactosaminyltransferase Activity, Transferring; HET: UD2, NAG, UDP; 2.604A {Homo sapiens}
WP_010937351.1	204	4RWN_A	202	0.7320	0.4579	7.196	8.4%	| 2'-5'-oligoadenylate synthase 1 (E.C.2.7.7.84)/RNA; Innate immunity, pathogen RNA sensor; HET: APC; 2.0A {Sus scrofa}
WP_010938437.1	210	2XUB_A	209	0.7260	0.3242	6.406	12.0%	| DNA-DIRECTED RNA POLYMERASE III SUBUNIT; TRANSCRIPTION, WINGED HELIX; 2.8A {HOMO SAPIENS}
WP_010939436.1	314	5NGJ_B	308	0.7254	0.5045	8.524	10.1%	| Tail tube protein; bacteriophage, viral protein, tube protein; 2.2A {Escherichia phage T5}
WP_010938771.1	298	6GKY_A	291	0.7218	0.6296	5.807	9.3%	| Coclaurine N-methyltransferase (E.C.2.1.1.115); N-methylheliamine, Coclaurine N-Methyltransferase, TRANSFERASE; HET: SAH, F2Z; 2.847A {Coptis japonica}
WP_010939044.1	87	6PIJ_J	87	0.7212	0.2094	5.144	9.2%	| cas7 type I-F CRISPR-associated protein; CRISPR/Cas, Cascade, RNA BINDING PROTEIN; 2.9A {Vibrio cholerae}
WP_010938088.1	156	6FNP_A	156	0.7201	0.6401	7.729	10.9%	| Membrane protein, Energy-coupling factor transporter; Vitamin B12, ECF transporter, Membrane; 3.4A {Lactobacillus delbrueckii}
WP_011792315.1	196	4UU4_A	161	0.7194	0.7967	7.114	19.3%	| PERIPLASMIC LIPOPOLYSACCHARIDE TRANSPORT PROTEIN LPTH; TRANSPORT PROTEIN, LPTH, LPTA, LPS; 2.751A {PSEUDOMONAS AERUGINOSA}
WP_010939718.1	191	2BTW_B	174	0.7186	0.5610	8.100	7.5%	| ALR0975 PROTEIN (E.C.2.3.2.15); PHYTOCHELATIN SYNTHASE, PCS, ALR0975, NOSTOC; HET: MSE; 2.0A {ANABAENA SP.} SCOP: d.3.1.14
WP_014524301.1	311	3OHG_A	256	0.7163	0.7753	11.157	12.5%	| Uncharacterized protein from DUF2233 family; STRUCTURAL GENOMICS, UNKNOWN FUNCTION, JOINT; HET: EDO, SO4; 1.8A {Bacteroides ovatus}
WP_010939440.1	54	2M66_A	54	0.7154	0.4285	3.833	14.8%	| Endoplasmic reticulum resident protein 29; ERp29, Erp29-C, Chaperone, GPS-Rosetta; NMR {Rattus norvegicus}
WP_014524657.1	187	5EJ1_A	185	0.7144	0.2178	5.769	10.8%	| Putative cellulose synthase (E.C.2.4.1.12), poly(unk); cellulose biosynthesis, glycosyltransferase, membrane transport; HET: C2E, BGC, 3PE, XP5; 3.4A {Rhodobacter sphaeroides (strain ATCC 17023 / 2.4.1 / NCIB 8253 / DSM 158)}
WP_010939781.1	95	6H9N_B	91	0.7130	0.6676	5.369	13.2%	| Cell division protein FtsQ, Cell; bacterial cell division, divisome, CELL; 2.6A {Escherichia coli K-12}
WP_014524242.1	49	2DJN_A	49	0.7128	0.5424	3.284	6.1%	| Homeobox protein DLX-5; homeobox, DLX5, Structural Genomics, NPPSFA; NMR {Homo sapiens}
WP_010938405.1	183	6RAO_G	178	0.7104	0.5884	6.951	13.5%	| Afp1, Afp2, Afp3, Afp5, Afp9; Anti-feeding prophage, secretion system, AFP; 3.1A {Serratia entomophila}
WP_010939241.1	277	5A7D_B	274	0.7103	0.5479	9.498	11.3%	| PINS, INSCUTEABLE; CELL CYCLE, LGN, INSCUTEABLE, ASYMMETRIC; 3.4A {DROSOPHILA MELANOGASTER}
WP_010939131.1	90	2LD3_A	83	0.7090	0.7211	3.438	8.4%	| Myosin VI; molecular motor, myosin VI, lever; NMR {Mus musculus}
WP_041722685.1	70	2DMN_A	68	0.7059	0.6222	4.313	5.9%	| Homeobox protein TGIF2LX; TGFB-induced factor 2-like protein, X-linked; NMR {Homo sapiens}
WP_010937575.1	418	2YMU_B	398	0.7034	0.5395	11.642	18.3%	| WD-40 REPEAT PROTEIN; UNKNOWN FUNCTION, TWO DOMAINS; 1.794A {NOSTOC PUNCTIFORME}
WP_010937959.1	69	2HF1_B	67	0.7022	0.7104	6.111	28.4%	| Tetraacyldisaccharide-1-P 4-kinase (E.C.2.7.1.130); Tetraacyldisaccharide-1-P 4-kinase, LpxK, lipid A; HET: MSE; 1.9A {Chromobacterium violaceum} SCOP: b.171.1.1
WP_014524458.1	225	7DB8_B	220	0.7009	0.2142	8.591	16.8%	| Phenylalanine--tRNA ligase alpha subunit (E.C.6.1.1.20); aminoacylation, tRNA-binding, aminoacyl-tRNA synthetase, ATP-binding; HET: H2R, SO4; 2.3A {Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)}
WP_010937559.1	195	6W6L_6	167	0.7007	0.7236	7.467	11.4%	| 60S ribosome-TMCO1 translocon assembly; RIBOSOME-PROTEIN TRANSPORT complex; HET: MG; 3.84A {Homo sapiens}
WP_011792721.1	105	4G9I_F	103	0.6998	0.1196	4.533	15.5%	| Hydrogenase maturation protein HypF; Zinc finger, Hydrogenase maturation, ATP; HET: MSE, ZN; 4.5A {Thermococcus kodakarensis}
WP_010938858.1	70	1QXF_A	61	0.6997	0.7321	5.050	13.1%	| 30S RIBOSOMAL PROTEIN S27E; STRUCTURAL GENOMICS, BETA SHEET, PSI; NMR {Archaeoglobus fulgidus} SCOP: g.41.8.4
WP_010938264.1	58	5XYI_b	58	0.6974	0.5038	4.364	15.5%	| 40S ribosomal protein SA, Ribosomal; Trichomonas vaginalis ribosome, rRNA, rprotein; 3.35A {Trichomonas vaginalis}
WP_010938873.1	279	4Z48_B	220	0.6970	0.7814	7.657	10.9%	| DUF1329 family protein; Structural Genomics, Joint Center for; HET: MSE, 1PE; 1.75A {Desulfovibrio piger ATCC 29098}
WP_010940423.1	286	3MEM_A	229	0.6969	0.4534	8.407	11.8%	| Putative signal transduction protein; Structural Genomics, Joint Center for; HET: FMT; 2.25A {Marinobacter aquaeolei}
WP_010938798.1	82	2LD3_A	82	0.6959	0.6636	3.673	4.9%	| Myosin VI; molecular motor, myosin VI, lever; NMR {Mus musculus}
