Query       	qlen	Templa    	alnlen	preTMS	preTMS2	Z-score	SID	Description
WP_010937972.1	256	PF18404.2	231	0.7734	0.7424	10.350	11.7%	| Glyco_transf_24 ; Glucosyltransferase 24
WP_010938404.1	266	PF14594.7	239	0.7711	0.6154	9.172	8.8%	| Sipho_Gp37 ; Siphovirus ReqiPepy6 Gp37-like protein
WP_010939510.1	69	PF02635.16	67	0.7707	0.4531	4.390	10.4%	| DrsE ; DsrE/DsrF-like family
WP_010939003.1	195	PF17212.4	160	0.7686	0.8844	8.183	10.0%	| Tube ; Tail tubular protein
WP_010940553.1	175	PF10027.10	146	0.7665	0.8837	6.241	13.7%	| DUF2269 ; Predicted integral membrane protein (DUF2269)
WP_010940657.1	96	PF12925.8	94	0.7658	0.4228	2.471	8.5%	| APP_E2 ; E2 domain of amyloid precursor protein
WP_010940655.1	315	PF00815.21	313	0.7634	0.6063	12.476	12.1%	| Histidinol_dh ; Histidinol dehydrogenase
WP_150103623.1	299	PF07042.12	266	0.7596	0.8050	11.552	12.4%	| TrfA ; TrfA protein
WP_011792418.1	100	PF01521.21	96	0.7571	0.6828	5.297	9.4%	| Fe-S_biosyn ; Iron-sulphur cluster biosynthesis
WP_010940012.1	314	PF05544.12	276	0.7554	0.7206	11.464	11.2%	| Pro_racemase ; Proline racemase
WP_010937610.1	105	PF10952.9	99	0.7546	0.5941	4.318	12.1%	| DUF2753 ; Protein of unknown function (DUF2753)
WP_010939932.1	158	PF08235.14	151	0.7542	0.5527	8.004	12.6%	| LNS2 ; LNS2 (Lipin/Ned1/Smp2)
WP_010938012.1	213	PF01068.22	185	0.7497	0.7724	9.289	9.2%	| DNA_ligase_A_M ; ATP dependent DNA ligase domain
WP_010939654.1	222	PF12679.8	220	0.7496	0.6478	7.884	9.5%	| ABC2_membrane_2 ; ABC-2 family transporter protein
WP_010938143.1	76	PF02996.18	76	0.7470	0.5312	2.867	11.8%	| Prefoldin ; Prefoldin subunit
WP_010939152.1	233	PF13277.7	214	0.7468	0.6993	10.733	11.7%	| YmdB ; YmdB-like protein
WP_010937917.1	93	PF10451.10	91	0.7467	0.3568	4.253	11.0%	| Stn1 ; Telomere regulation protein Stn1
WP_010939320.1	95	PF06342.13	95	0.7456	0.2828	5.685	5.3%	| DUF1057 ; Alpha/beta hydrolase of unknown function (DUF1057)
WP_010940259.1	396	PF04007.13	333	0.7448	0.8595	13.879	12.9%	| DUF354 ; Protein of unknown function (DUF354)
WP_010940220.1	115	PF09582.11	111	0.7427	0.4722	5.420	9.0%	| AnfO_nitrog ; Iron only nitrogenase protein AnfO (AnfO_nitrog)
WP_010938780.1	142	PF05382.14	134	0.7415	0.7286	7.978	9.7%	| Amidase_5 ; Bacteriophage peptidoglycan hydrolase
WP_010938446.1	348	PF14286.7	281	0.7386	0.6766	14.505	18.9%	| DHHW ; DHHW protein
WP_010939692.1	109	PF02426.17	88	0.7382	0.8779	4.839	14.8%	| MIase ; Muconolactone delta-isomerase
WP_014524635.1	64	PF01312.20	53	0.7369	0.1516	3.746	13.2%	| Bac_export_2 ; FlhB HrpN YscU SpaS Family
WP_010940110.1	287	PF03786.14	263	0.7338	0.6123	9.974	8.7%	| UxuA ; D-mannonate dehydratase (UxuA)
WP_010937920.1	96	PF10451.10	94	0.7307	0.3592	4.477	10.6%	| Stn1 ; Telomere regulation protein Stn1
WP_010939011.1	184	PF11124.9	169	0.7291	0.5088	7.012	5.9%	| Pho86 ; Inorganic phosphate transporter Pho86
WP_010939436.1	314	PF18906.1	252	0.7286	0.7578	10.237	13.1%	| Phage_tube_2 ; Phage tail tube protein
WP_010937574.1	219	PF02665.15	185	0.7278	0.7189	7.739	16.8%	| Nitrate_red_gam ; Nitrate reductase gamma subunit
WP_011792465.1	183	PF04612.13	146	0.7241	0.8528	6.657	8.9%	| T2SSM ; Type II secretion system (T2SS), protein M
WP_010939290.1	51	PF17806.2	49	0.7226	0.4709	4.524	14.3%	| SO_alpha_A3 ; Sarcosine oxidase A3 domain
WP_010940168.1	250	PF02361.17	202	0.7213	0.8174	7.788	13.4%	| CbiQ ; Cobalt transport protein
WP_010937838.1	226	PF02665.15	185	0.7199	0.7318	7.818	20.5%	| Nitrate_red_gam ; Nitrate reductase gamma subunit
WP_010939385.1	119	PF09582.11	115	0.7197	0.4747	5.392	6.1%	| AnfO_nitrog ; Iron only nitrogenase protein AnfO (AnfO_nitrog)
WP_010939044.1	87	PF12964.8	81	0.7196	0.6654	5.232	7.4%	| DUF3853 ; Protein of unknown function (DUF3853)
WP_011176606.1	136	PF16823.6	133	0.7179	0.6803	5.221	8.3%	| PilZ_2 ; Atypical PilZ domain, cyclic di-GMP receptor
WP_010937583.1	123	PF09002.12	121	0.7104	0.2696	5.215	11.6%	| DUF1887 ; Domain of unknown function (DUF1887)
WP_010939994.1	118	PF10934.9	95	0.7102	0.7613	5.051	11.6%	| DUF2634 ; Protein of unknown function (DUF2634)
WP_010939880.1	519	PF05876.13	421	0.7100	0.6835	15.221	9.7%	| Terminase_GpA ; Phage terminase large subunit (GpA)
WP_010938691.1	85	PF14893.7	85	0.7095	0.2247	4.211	7.1%	| PNMA ; PNMA
WP_010939495.1	89	PF08765.12	76	0.7088	0.5987	4.577	21.1%	| Mor ; Mor transcription activator family
WP_010940032.1	55	PF17797.2	55	0.7084	0.5858	3.565	9.1%	| RL ; RL domain
WP_010938847.1	150	PF09719.11	116	0.7067	0.8178	4.666	20.7%	| C_GCAxxG_C_C ; Putative redox-active protein (C_GCAxxG_C_C)
WP_011792671.1	111	PF06746.12	111	0.7051	0.6415	3.792	9.9%	| DUF1216 ; Protein of unknown function (DUF1216)
WP_010939449.1	73	PF02831.16	62	0.7027	0.7513	3.366	14.5%	| gpW ; gpW
WP_014524594.1	290	PF10111.10	258	0.7018	0.7082	11.061	13.2%	| Glyco_tranf_2_2 ; Glycosyltransferase like family 2
WP_010939025.1	72	PF09035.11	67	0.7018	0.7265	5.409	13.4%	| Tn916-Xis ; Excisionase from transposon Tn916
WP_010939012.1	534	PF05876.13	421	0.6981	0.6898	14.633	9.5%	| Terminase_GpA ; Phage terminase large subunit (GpA)
WP_010939131.1	90	PF03623.14	87	0.6980	0.5143	2.851	10.3%	| Focal_AT ; Focal adhesion targeting region
WP_010937464.1	127	PF15585.7	120	0.6928	0.6726	5.252	5.8%	| Imm7 ; Immunity protein 7
WP_010939865.1	191	PF02474.16	173	0.6925	0.6806	8.290	14.5%	| NodA ; Nodulation protein A (NodA)
WP_010938670.1	76	PF07303.14	76	0.6924	0.5627	2.863	14.5%	| Occludin_ELL ; Occludin homology domain
WP_010937551.1	125	PF09582.11	123	0.6923	0.4779	5.633	11.4%	| AnfO_nitrog ; Iron only nitrogenase protein AnfO (AnfO_nitrog)
WP_010938798.1	82	PF07439.12	82	0.6912	0.5462	3.053	13.4%	| DUF1515 ; Protein of unknown function (DUF1515)
WP_010938437.1	210	PF05158.13	204	0.6912	0.4488	6.499	10.3%	| RNA_pol_Rpc34 ; RNA polymerase Rpc34 subunit
WP_010938518.1	175	PF03976.15	164	0.6903	0.5580	6.923	5.5%	| PPK2 ; Polyphosphate kinase 2 (PPK2)
WP_014524550.1	152	PF06892.12	120	0.6895	0.6620	4.255	12.5%	| Phage_CP76 ; Phage regulatory protein CII (CP76)
WP_010939428.1	119	PF09636.11	106	0.6877	0.7536	5.312	20.8%	| XkdW ; XkdW protein
WP_010940672.1	356	PF08735.11	250	0.6833	0.9278	12.230	38.0%	| DUF1786 ; Putative pyruvate format-lyase activating enzyme (DUF1786)
WP_010938873.1	279	PF14125.7	204	0.6829	0.8652	9.037	7.8%	| DUF4292 ; Domain of unknown function (DUF4292)
WP_010940650.1	80	PF12441.9	73	0.6799	0.7060	5.209	17.8%	| CopG_antitoxin ; CopG antitoxin of type II toxin-antitoxin system
WP_010937347.1	151	PF13801.7	125	0.6799	0.7923	4.734	8.0%	| Metal_resist ; Heavy-metal resistance
WP_010938417.1	316	PF10123.10	288	0.6795	0.6600	11.434	15.6%	| Mu-like_Pro ; Mu-like prophage I protein
WP_010937351.1	204	PF04928.18	191	0.6795	0.4380	7.056	9.9%	| PAP_central ; Poly(A) polymerase central domain
WP_014524242.1	49	PF04282.14	48	0.6776	0.5354	2.865	4.2%	| DUF438 ; Family of unknown function (DUF438)
WP_010938436.1	62	PF10944.9	62	0.6759	0.5551	2.617	11.3%	| DUF2630 ; Protein of unknown function (DUF2630)
WP_010939718.1	191	PF11814.9	167	0.6742	0.6324	7.963	13.2%	| DUF3335 ; Peptidase_C39 like family
WP_010939241.1	277	PF16918.6	271	0.6742	0.5605	10.166	5.9%	| PknG_TPR ; Protein kinase G tetratricopeptide repeat
WP_010939440.1	54	PF00505.20	54	0.6720	0.5616	3.346	3.7%	| HMG_box ; HMG (high mobility group) box
WP_010938748.1	247	PF00529.21	240	0.6682	0.4901	7.615	10.0%	| HlyD ; HlyD membrane-fusion protein of T1SS
WP_010938442.1	141	PF06892.12	111	0.6681	0.6005	4.424	14.4%	| Phage_CP76 ; Phage regulatory protein CII (CP76)
WP_010938771.1	298	PF08003.12	263	0.6680	0.6353	9.201	8.4%	| Methyltransf_9 ; Protein of unknown function (DUF1698)
WP_010939971.1	93	PF07028.12	89	0.6679	0.5919	3.468	10.1%	| DUF1319 ; Protein of unknown function (DUF1319)
WP_014524598.1	623	PF07220.12	474	0.6646	0.6219	15.012	7.2%	| DUF1420 ; Protein of unknown function (DUF1420)
WP_010940095.1	80	PF11112.9	69	0.6639	0.7124	5.395	17.4%	| PyocinActivator ; Pyocin activator protein PrtN
WP_010938751.1	248	PF04344.14	181	0.6616	0.7996	5.694	21.0%	| CheZ ; Chemotaxis phosphatase, CheZ
WP_010939473.1	65	PF07282.12	58	0.6609	0.6189	3.944	19.0%	| OrfB_Zn_ribbon ; Putative transposase DNA-binding domain
WP_014524431.1	135	PF06992.12	111	0.6597	0.5628	4.109	18.9%	| Phage_lambda_P ; Replication protein P
WP_010940125.1	185	PF06141.12	129	0.6569	0.9141	5.408	21.7%	| Phage_tail_U ; Phage minor tail protein U
WP_010938657.1	322	PF02447.17	315	0.6565	0.5119	7.909	9.5%	| GntP_permease ; GntP family permease
WP_010937518.1	185	PF06141.12	129	0.6548	0.9102	5.393	20.9%	| Phage_tail_U ; Phage minor tail protein U
WP_011791439.1	72	PF01608.18	72	0.6543	0.3855	2.342	9.7%	| I_LWEQ ; I/LWEQ domain
WP_010939023.1	47	PF04365.14	39	0.6539	0.4205	2.685	43.6%	| BrnT_toxin ; Ribonuclease toxin, BrnT, of type II toxin-antitoxin system
WP_010940044.1	90	PF14968.7	90	0.6521	0.2321	3.107	8.9%	| CCDC84 ; Coiled coil protein 84
WP_010937559.1	195	PF01956.17	151	0.6508	0.6255	6.176	11.3%	| EMC3_TMCO1 ; Integral membrane protein EMC3/TMCO1-like
WP_010939972.1	71	PF10779.10	65	0.6500	0.6886	3.170	12.3%	| XhlA ; Haemolysin XhlA
WP_010940218.1	138	PF07843.12	107	0.6499	0.8000	5.205	17.8%	| DUF1634 ; Protein of unknown function (DUF1634)
WP_010939988.1	109	PF16459.6	93	0.6499	0.6273	5.642	7.5%	| Phage_TAC_13 ; Phage tail assembly chaperone, TAC
WP_010939013.1	202	PF07141.12	170	0.6487	0.7370	7.697	18.8%	| Phage_term_sma ; Putative bacteriophage terminase small subunit
WP_010938964.1	54	PF11520.9	50	0.6481	0.6173	4.190	10.0%	| Cren7 ; Chromatin protein Cren7
WP_010937716.1	116	PF05400.14	81	0.6463	0.8943	2.947	16.0%	| FliT ; Flagellar protein FliT
WP_010938400.1	218	PF10076.10	155	0.6427	0.7933	6.767	9.0%	| DUF2313 ; Uncharacterised protein conserved in bacteria (DUF2313)
WP_014524585.1	280	PF18588.2	190	0.6419	0.8667	9.925	22.1%	| WcbI ; Polysaccharide biosynthesis enzyme WcbI
WP_010940431.1	58	PF02268.17	45	0.6413	0.7643	2.333	11.1%	| TFIIA_gamma_N ; Transcription initiation factor IIA, gamma subunit, helical domain
WP_010938331.1	169	PF10768.10	137	0.6381	0.7570	4.421	13.9%	| FliX ; Class II flagellar assembly regulator
WP_011791831.1	176	PF04381.13	138	0.6379	0.3953	6.403	10.9%	| RdgC ; Putative exonuclease, RdgC
WP_010939276.1	215	PF11644.9	166	0.6364	0.7049	8.532	13.3%	| DUF3256 ; Protein of unknown function (DUF3256)
WP_014524554.1	160	PF05565.12	145	0.6316	0.6379	6.792	12.4%	| Sipho_Gp157 ; Siphovirus Gp157
WP_010937727.1	58	PF03710.16	58	0.6310	0.1982	5.458	19.0%	| GlnE ; Glutamate-ammonia ligase adenylyltransferase
WP_011792721.1	105	PF15585.7	102	0.6308	0.5375	4.608	6.9%	| Imm7 ; Immunity protein 7
WP_010937991.1	166	PF17174.5	118	0.6303	0.7540	5.483	12.7%	| DUF5130 ; Domain of unknown function (DUF5130)
WP_010938407.1	110	PF08748.12	101	0.6296	0.6605	6.558	11.9%	| Phage_TAC_4 ; Phage tail assembly chaperone
WP_014524537.1	410	PF03403.14	297	0.6288	0.6958	11.079	17.8%	| PAF-AH_p_II ; Platelet-activating factor acetylhydrolase, isoform II
WP_010940670.1	304	PF17236.3	233	0.6286	0.6596	8.114	10.7%	| DUF5309 ; Family of unknown function (DUF5309)
WP_010939481.1	223	PF04708.13	193	0.6285	0.6519	6.773	4.7%	| Pox_F16 ; Poxvirus F16 protein
WP_010939014.1	82	PF07439.12	82	0.6283	0.5036	2.959	13.4%	| DUF1515 ; Protein of unknown function (DUF1515)
WP_010938785.1	127	PF08890.12	123	0.6282	0.6114	6.212	4.9%	| Phage_TAC_5 ; Phage XkdN-like tail assembly chaperone protein, TAC
WP_164928115.1	81	PF17017.6	80	0.6281	0.3533	3.326	13.8%	| zf-C2H2_aberr ; Aberrant zinc-finger
WP_010940351.1	215	PF13468.7	169	0.6273	0.7303	7.470	13.6%	| Glyoxalase_3 ; Glyoxalase-like domain
WP_164928125.1	59	PF09607.11	52	0.6261	0.6750	3.224	15.4%	| BrkDBD ; Brinker DNA-binding domain
WP_014524429.1	118	PF04612.13	116	0.6260	0.5167	3.975	16.4%	| T2SSM ; Type II secretion system (T2SS), protein M
WP_010938264.1	58	PF01667.18	47	0.6259	0.6545	3.365	19.1%	| Ribosomal_S27e ; Ribosomal protein S27
WP_010938412.1	178	PF16724.6	173	0.6254	0.5081	6.284	6.4%	| T4-gp15_tss ; T4-like virus Myoviridae tail sheath stabiliser
WP_010939963.1	144	PF15057.7	112	0.6253	0.6945	4.716	12.5%	| DUF4537 ; Domain of unknown function (DUF4537)
WP_010938181.1	154	PF12693.8	132	0.6253	0.6348	5.463	5.3%	| GspL_C ; GspL periplasmic domain
WP_014524228.1	252	PF07152.13	167	0.6251	0.8936	8.174	16.8%	| YaeQ ; YaeQ protein
WP_010938950.1	64	PF03292.15	63	0.6233	0.0889	3.646	7.9%	| Pox_P4B ; Poxvirus P4B major core protein
WP_011792466.1	164	PF11356.9	135	0.6212	0.7026	8.728	13.3%	| T2SSC ; Type II secretion system protein C
WP_010940586.1	91	PF07371.13	84	0.6188	0.6345	3.807	17.9%	| DUF1490 ; Protein of unknown function (DUF1490)
WP_010939234.1	96	PF08416.14	95	0.6186	0.4949	3.978	7.4%	| PTB ; Phosphotyrosine-binding domain
WP_010937376.1	265	PF10082.10	255	0.6185	0.4758	8.036	12.2%	| BBP2_2 ; Putative beta-barrel porin 2
WP_010937959.1	69	PF06044.13	69	0.6128	0.2969	4.131	8.7%	| DpnI ; Dam-replacing family
WP_164928112.1	142	PF15057.7	113	0.6123	0.6695	4.604	12.4%	| DUF4537 ; Domain of unknown function (DUF4537)
WP_164928140.1	91	PF01920.21	90	0.6122	0.5682	3.936	13.3%	| Prefoldin_2 ; Prefoldin subunit
WP_010940676.1	178	PF18737.2	139	0.6110	0.5124	3.924	5.8%	| HEPN_MAE_28990 ; MAE_28990/MAE_18760-like HEPN
WP_011176730.1	307	PF06578.13	207	0.6109	0.8775	8.597	15.0%	| YscK ; YOP proteins translocation protein K (YscK)
WP_150103632.1	401	PF04392.13	284	0.6108	0.8077	10.445	18.0%	| ABC_sub_bind ; ABC transporter substrate binding protein
WP_010940279.1	122	PF16358.6	100	0.6108	0.6677	5.203	16.0%	| RcsF ; RcsF lipoprotein
WP_010938799.1	116	PF11351.9	108	0.6107	0.6292	4.698	11.1%	| GTA_holin_3TM ; Holin of 3TMs, for gene-transfer release
WP_011791841.1	184	PF02481.16	138	0.6098	0.5459	5.774	14.5%	| DNA_processg_A ; DNA recombination-mediator protein A
WP_014524576.1	70	PF11221.9	70	0.6095	0.3824	3.511	12.9%	| Med21 ; Subunit 21 of Mediator complex
WP_010939313.1	423	PF10926.9	308	0.6095	0.6874	10.440	7.8%	| DUF2800 ; Protein of unknown function (DUF2800)
WP_010938122.1	199	PF13036.7	139	0.6091	0.8017	5.695	10.8%	| LpoB ; Peptidoglycan-synthase activator LpoB
WP_014524458.1	225	PF03483.18	150	0.6085	0.7703	7.610	16.7%	| B3_4 ; B3/4 domain
WP_010938633.1	194	PF17680.2	132	0.6075	0.8468	5.386	28.8%	| FlgO ; FlgO protein
WP_010939437.1	155	PF06141.12	125	0.6050	0.6923	4.962	11.2%	| Phage_tail_U ; Phage minor tail protein U
WP_010939498.1	114	PF05757.12	110	0.6045	0.3958	3.513	10.9%	| PsbQ ; Oxygen evolving enhancer protein 3 (PsbQ)
WP_011792449.1	95	PF07304.12	93	0.6030	0.4366	3.772	10.8%	| SRA1 ; Steroid receptor RNA activator (SRA1)
WP_010939006.1	310	PF17236.3	240	0.6028	0.6427	8.087	10.8%	| DUF5309 ; Family of unknown function (DUF5309)
WP_010937575.1	418	PF04762.13	404	0.6025	0.3156	16.875	7.4%	| IKI3 ; IKI3 family
WP_010940302.1	343	PF18404.2	253	0.6022	0.7462	12.000	9.5%	| Glyco_transf_24 ; Glucosyltransferase 24
WP_010940134.1	142	PF15057.7	113	0.6021	0.6575	4.580	9.7%	| DUF4537 ; Domain of unknown function (DUF4537)
WP_010937954.1	362	PF02652.15	359	0.6007	0.4753	7.783	7.0%	| Lactate_perm ; L-lactate permease
WP_010937906.1	88	PF11023.9	87	0.5984	0.5105	5.725	16.1%	| DUF2614 ; Zinc-ribbon containing domain
WP_010939015.1	116	PF11351.9	109	0.5976	0.6151	4.888	10.1%	| GTA_holin_3TM ; Holin of 3TMs, for gene-transfer release
WP_010939467.1	51	PF08227.12	45	0.5951	0.6324	2.732	11.1%	| DASH_Hsk3 ; DASH complex subunit Hsk3 like
WP_011176733.1	100	PF12998.8	94	0.5949	0.5869	3.371	8.5%	| ING ; Inhibitor of growth proteins N-terminal histone-binding
WP_010937919.1	130	PF10451.10	129	0.5942	0.3961	5.625	8.5%	| Stn1 ; Telomere regulation protein Stn1
WP_010938432.1	152	PF15057.7	118	0.5938	0.6876	4.656	14.4%	| DUF4537 ; Domain of unknown function (DUF4537)
WP_011792315.1	196	PF06835.14	147	0.5927	0.6710	6.559	8.8%	| LptC ; Lipopolysaccharide-assembly, LptC-related
WP_014524452.1	100	PF04645.13	98	0.5913	0.3838	5.970	6.1%	| DUF603 ; Protein of unknown function, DUF603
WP_010938471.1	125	PF11950.9	86	0.5912	0.8107	4.230	9.3%	| DUF3467 ; Protein of unknown function (DUF3467)
WP_010938093.1	110	PF01653.19	110	0.5895	0.2666	2.980	5.5%	| DNA_ligase_aden ; NAD-dependent DNA ligase adenylation domain
WP_010940332.1	303	PF14314.7	292	0.5892	0.2994	9.082	10.3%	| Methyltrans_Mon ; Virus-capping methyltransferase
WP_010938786.1	387	PF18906.1	257	0.5887	0.7402	9.733	9.3%	| Phage_tube_2 ; Phage tail tube protein
WP_010937937.1	188	PF11307.9	162	0.5879	0.6053	9.474	12.3%	| DUF3109 ; Protein of unknown function (DUF3109)
WP_010939895.1	68	PF07282.12	51	0.5878	0.5674	4.257	15.7%	| OrfB_Zn_ribbon ; Putative transposase DNA-binding domain
WP_014524678.1	92	PF11537.9	86	0.5876	0.5956	4.299	10.5%	| NitrOD5 ; Nitrosopumilus output domain 5
WP_010940133.1	91	PF02831.16	62	0.5876	0.7546	2.802	22.6%	| gpW ; gpW
WP_010938872.1	116	PF02403.23	107	0.5854	0.6131	3.473	11.2%	| Seryl_tRNA_N ; Seryl-tRNA synthetase N-terminal domain
WP_010938434.1	79	PF03278.14	76	0.5852	0.3766	2.966	3.9%	| IpaB_EvcA ; IpaB/EvcA family
WP_010938430.1	121	PF06892.12	121	0.5844	0.4785	5.188	9.1%	| Phage_CP76 ; Phage regulatory protein CII (CP76)
WP_010937707.1	183	PF15516.7	146	0.5830	0.6751	5.782	11.0%	| BpuSI_N ; BpuSI N-terminal domain
WP_010938912.1	140	PF18899.1	107	0.5807	0.7188	4.134	14.0%	| DUF5655 ; Domain of unknown function (DUF5655)
WP_010939475.1	126	PF15731.6	114	0.5800	0.5630	4.998	9.6%	| MqsA_antitoxin ; Antitoxin component of bacterial toxin-antitoxin system, MqsA
WP_011792814.1	102	PF01709.21	100	0.5791	0.3072	3.564	10.0%	| Transcrip_reg ; Transcriptional regulator
WP_011176646.1	660	PF09586.11	615	0.5791	0.4836	11.738	8.9%	| YfhO ; Bacterial membrane protein YfhO
WP_014524535.1	252	PF02474.16	174	0.5769	0.7214	8.033	9.8%	| NodA ; Nodulation protein A (NodA)
WP_010938753.1	111	PF05643.12	110	0.5769	0.4080	3.967	9.1%	| DUF799 ; Putative bacterial lipoprotein (DUF799)
WP_010937375.1	302	PF10082.10	282	0.5766	0.4914	8.945	10.6%	| BBP2_2 ; Putative beta-barrel porin 2
WP_164561964.1	230	PF04958.13	214	0.5751	0.4294	8.347	12.1%	| AstA ; Arginine N-succinyltransferase beta subunit
WP_010939042.1	135	PF06892.12	135	0.5751	0.5094	5.835	12.6%	| Phage_CP76 ; Phage regulatory protein CII (CP76)
WP_010939266.1	130	PF00489.18	129	0.5749	0.4435	3.440	4.7%	| IL6 ; Interleukin-6/G-CSF/MGF family
WP_010939507.1	122	PF04011.13	113	0.5740	0.5067	3.750	11.5%	| LemA ; LemA family
WP_011791730.1	98	PF12964.8	84	0.5739	0.5833	5.447	15.5%	| DUF3853 ; Protein of unknown function (DUF3853)
WP_010938858.1	70	PF05129.14	68	0.5731	0.5306	5.189	11.8%	| Elf1 ; Transcription elongation factor Elf1 like
WP_010940415.1	480	PF05576.12	398	0.5726	0.6057	11.719	9.8%	| Peptidase_S37 ; PS-10 peptidase S37
WP_014524625.1	42	PF06952.12	42	0.5723	0.1581	3.883	11.9%	| PsiA ; PsiA protein
WP_010938420.1	206	PF12869.8	169	0.5717	0.6316	6.956	20.7%	| tRNA_anti-like ; tRNA_anti-like
