,locus_tag,old_locus_tag,OctoberProduct,SAdLSApdb,SAdLSApreTMS,SAdLSApreTMS2,SAdLSApdbDescription,pfamID,pfamPreTMS,pfamPreTMS2,pfamDescription,hhblitsID,hhblitsProb,hhblitsDescription
WP_010937461.1,DVU_RS00730,DVU0150,hypothetical,2LD3_A,0.4782,0.5033,"Myosin VI; molecular motor, myosin VI, lever; NMR {Mus musculus}",PF13758.7,0.4324,0.4345,Prefoldin_3 ; Prefoldin subunit,4LA9_A,33.44,"Glutamine ABC transporter permease and; GLUTAMINE BINDING PROTEIN, AMINO ACID; HET: PEG; 1.3A {Lactococcus lactis subsp. lactis}"
WP_010937464.1,DVU_RS00750,DVU0153,hypothetical,6PAS_B,0.6452,0.1721,"Soluble guanylyl cyclase alpha-1 subunit; Nitric oxide, cyclase, H-NOX, SIGNALING; HET: HEM; 5.1A {Manduca sexta}",PF15585.7,0.6928,0.6726,Imm7 ; Immunity protein 7,3EUJ_B,20.14,"Chromosome partition protein mukB, Linker; MukB, MukE, MukF, Chromosome condensation; HET: AGS; 3.1A {Haemophilus ducreyi, synthetic}"
WP_164561858.1,DVU_RS00840,NULL,hypothetical,4V9F_6,0.2676,0.2630,"PROTEIN/RNA Complex; 50S ribosomal subunit, ribonucleoprotein, ribosomal; HET: OMU, UR3, 1MA, NA, MG, CL, OMG, PSU, ACY; 2.404A {Haloarcula marismortui}",PF17426.3,0.2463,0.1629,Putative_G5P ; Putative Gamma DNA binding protein G5P,5XTC_g,10.62,"NADH dehydrogenase [ubiquinone] iron-sulfur protein; Homo sapiens, Oxidoreductase, Respiratory, Complex; HET: 8Q1, PLX, CDL, PEE; 3.7A {Homo sapiens}"
WP_010937503.1,DVU_RS00920,DVU0193,hypothetical,6R6H_O,0.4617,0.2008,COP9 signalosome complex subunit 1; Cullin-Ring E3 Ligase COP9 Signalosome; 8.4A {Homo sapiens},PF07471.13,0.5462,0.7928,Phage_Nu1 ; Phage DNA packaging protein Nu1,6HN7_B,97.14,"Redirecting phage packaging protein C; Redirecting packaging protein, DNA Binding; 3.0A {Escherichia coli}"
WP_164928112.1,DVU_RS00935,NULL,hypothetical,6R3E_B,0.6623,0.3841,"DNA (cytosine-5)-methyltransferase 3B,DNA (cytosine-5)-methyltransferase 3B; DNMT3B PWWP DOMAIN, HISTONE BINDING; HET: SO4, 96H; 2.269A {Homo sapiens}",PF15057.7,0.6123,0.6695,DUF4537 ; Domain of unknown function (DUF4537),4MCT_D,31.52,"Antidote protein, Killer protein; bacterial toxins, biofilms, cell metabolism; 2.8A {Proteus vulgaris}"
WP_164928140.1,DVU_RS00940,DVU0196,hypothetical,3AEI_B,0.5616,0.5320,"Prefoldin beta subunit 2; double helix, coiled coil, CHAPERONE; HET: SO4; 1.7A {Thermococcus sp.}",PF01920.21,0.6122,0.5682,Prefoldin_2 ; Prefoldin subunit,2L6R_A,97.37,"Head-to-tail joining protein W (GpW); gpW, atom by atom analysis; NMR {Enterobacteria phage lambda}"
WP_010937511.1,DVU_RS00965,DVU0201,hypothetical,6XTY_B,0.4526,0.2950,"DNA replication licensing factor MCM2; CMG, Helicase, ATPase, Replisome, REPLICATION; 6.77A {Homo sapiens}",PF14000.7,0.3771,0.3189,Packaging_FI ; DNA packaging protein FI,5GHR_B,90.76,"SsDNA-specific exonuclease, Putative uncharacterized protein; DNA replication, DNA BINDING PROTEIN-REPLICATION; HET: SO4, MSE; 2.509A {Thermococcus kodakarensis}"
WP_164928113.1,DVU_RS00975,DVU0203,hypothetical,6V3Z_B,0.8504,0.8099,"Sen1395; Muramidase Lysozyme-like Peptidoglycan-binding, PROTEIN TRANSPORT; 1.9A {Salmonella enteritidis}",PF01374.19,0.5157,0.4788,Glyco_hydro_46 ; Glycosyl hydrolase family 46,6V40_A,100.00,"PG_binding_3 domain-containing protein; Muramidase Lysozyme-like Peptidoglycan-binding, PROTEIN TRANSPORT; HET: API; 2.104A {Salmonella typhi}"
WP_010937516.1,DVU_RS13415,DVU2863,hypothetical,2IOP_A,0.5461,0.2206,"Chaperone protein htpG; Heat Shock Protein, Chaperone, Hsp90; HET: ADP; 3.55A {Escherichia coli}",PF06763.12,0.8055,0.8672,Minor_tail_Z ; Prophage minor tail protein Z (GPZ),2FGG_A,19.17,"Hypothetical protein Rv2632c/MT2708; Rv2632c, TB target, Structural Genomics; 2.3A {Mycobacterium tuberculosis} SCOP: d.50.5.1"
WP_010937517.1,DVU_RS13410,DVU2862,hypothetical,2KX4_A,0.8451,0.7881,"Tail attachment protein; gpFII, connector protein, Structural Genomics; NMR {Bacteriophage lambda}",PF05354.12,0.8526,0.7948,Phage_attach ; Phage Head-Tail Attachment,1K0H_A,99.65,"gpFII; twisted beta-sandwich, Viral protein; NMR {Enterobacteria phage lambda} SCOP: b.106.1.2"
WP_010937518.1,DVU_RS01000,DVU0208,hypothetical,3FZ2_J,0.6674,0.9032,"Minor tail protein U; Mixed Alpha-Beta fold, VIRAL PROTEIN; HET: MSE, SO4; 2.7A {Enterobacteria phage lambda}",PF06141.12,0.6548,0.9102,Phage_tail_U ; Phage minor tail protein U,3FZ2_J,99.73,"Minor tail protein U; Mixed Alpha-Beta fold, VIRAL PROTEIN; HET: SO4, MSE; 2.7A {Enterobacteria phage lambda}"
WP_164928114.1,DVU_RS01025,DVU0213,hypothetical,6V8I_AF,0.4880,0.2815,"Distal Tail Protein, gp58, Tail-Associated; phage tail, tail tip, tape; 3.7A {Staphylococcus virus 80alpha}",PF00311.18,0.4391,0.3259,PEPcase ; Phosphoenolpyruvate carboxylase,6V8I_AF,98.19,"Distal Tail Protein, gp58, Tail-Associated; phage tail, tail tip, tape; 3.7A {Staphylococcus virus 80alpha}"
WP_010937532.1,DVU_RS01070,DVU0222,hypothetical,5LOE_A,0.5093,0.2805,"GTP-sensing transcriptional pleiotropic repressor CodY; GAF, wHTH, transcriptional regulator, CodY; HET: ILE; 3.0A {Bacillus subtilis (strain 168)}",PF00211.21,0.4827,0.3407,Guanylate_cyc ; Adenylate and Guanylate cyclase catalytic domain,6AZ6_A,58.29,"GntR family transcriptional regulator; Transcriptional repressor, TRANSCRIPTION; HET: MSE; 1.909A {Streptococcus agalactiae}"
WP_010937534.1,DVU_RS01080,DVU0224,type II toxin-antitoxin system HicB family antitoxin,6G1N_D,0.9283,0.8610,Uncharacterized protein; The antitoxin HicB which acts; HET: GOL; 1.85A {Burkholderia pseudomallei},PF15919.6,0.8635,0.8889,HicB_lk_antitox ; HicB_like antitoxin of bacterial toxin-antitoxin system,4P7D_B,99.91,"Antitoxin HicB3; toxin-antitoxin complex, Toxin, homotetramer; HET: MSE; 2.781A {Yersinia pestis}"
WP_164928115.1,DVU_RS01085,NULL,hypothetical,2D9K_A,0.7856,0.8399,"FLN29 gene product; FLN29, zinc finger, zf-TRAF, Structural; HET: ZN; NMR {Homo sapiens}",PF17017.6,0.6281,0.3533,zf-C2H2_aberr ; Aberrant zinc-finger,1M36_A,76.69,"Monocytic leukemia zinc finger protein; zinc finger, acetyl transferase, DNA; HET: ZN; NMR {Homo sapiens} SCOP: g.37.1.2"
WP_164928116.1,DVU_RS01090,DVU0226,hypothetical,4GW9_A,0.5037,0.3037,"bacteriophytochrome (E.C.2.7.13.3); PHOTORECEPTOR, PAS/PAC SENSOR, BACTERIOPBHYTOCHROME, BACTERIOPHYTOCHROME; HET: BLA, MSE; 2.9A {Rhodopseudomonas palustris}",PF08326.13,0.4274,0.2438,"ACC_central ; Acetyl-CoA carboxylase, central region",3GMX_B,96.05,"BLP; 2-layer alpha/beta sandwich, PROTEIN BINDING; HET: ACT; 1.05A {Streptomyces clavuligerus}"
WP_164928119.1,DVU_RS01110,NULL,hypothetical,6BVA_E,0.5040,0.5799,"S-phase kinase-associated protein 1, Lysine-specific; Ubiquitination, PROTEIN BINDING; 2.66A {Homo sapiens}",PF17230.3,0.3649,0.2117,DUF5304 ; Family of unknown function (DUF5304),4EYY_R,64.11,"IcmR, IcmQ; Protein heterodimer, ADPRT-like fold, NAD-binding; 2.4A {Legionella pneumophila subsp. pneumophila}"
WP_164928120.1,DVU_RS01120,DVU0232,hypothetical,2L0K_A,0.4920,0.4587,"Stage III sporulation protein D; SpoIIID, NMR solution structure, DNA; NMR {Bacillus subtilis}",PF01325.20,0.4698,0.5625,"Fe_dep_repress ; Iron dependent repressor, N-terminal DNA binding domain",6V0M_B,43.27,"Mitogen-activated protein kinase kinase kinase; SAM, kinase, ASK, TRANSFERASE; 1.8A {Homo sapiens}"
WP_164928121.1,DVU_RS01125,NULL,hypothetical,6LUI_A,0.5153,0.5113,Atherin/DNA Complex; CpG islands transcription ; 1.781A {Homo sapiens},PF11994.9,0.4917,0.5537,DUF3489 ; Protein of unknown function (DUF3489),1SVD_M,60.46,"ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (E.C.4.1.1.39); beta-alpha-barrel, LYASE; HET: SO4; 1.8A {Halothiobacillus neapolitanus} SCOP: d.73.1.1"
WP_010937544.1,DVU_RS01130,DVU0234,hypothetical,6VA5_A,0.5184,0.4635,"TP53-binding protein 1; 53BP1, Tudor, MFP-4184, Structural Genomics; HET: QSS, SO4; 1.28A {Homo sapiens}",PF02996.18,0.5581,0.5242,Prefoldin ; Prefoldin subunit,2CO3_B,42.63,"SAFA PILUS SUBUNIT; PILUS SUBUNIT, ADHESION, PATHOGENESIS, FIBRIL; 1.78A {SALMONELLA TYPHIMURIUM} SCOP: b.2.3.2"
WP_010937545.1,DVU_RS01135,DVU0235,hypothetical,1FLK_B,0.3749,0.3361,"TNF RECEPTOR ASSOCIATED FACTOR 3; TNF SIGNALING, TRAF3, CD40-BINDING PROTEIN; 2.8A {Homo sapiens} SCOP: b.8.1.1, h.1.2.1",PF14953.7,0.3350,0.2557,DUF4504 ; Domain of unknown function (DUF4504),1SPW_A,83.35,"Rubredoxin; Truncated loop, ELECTRON TRANSPORT; NMR {Desulfovibrio gigas}"
WP_010937548.1,DVU_RS01160,DVU0238,hypothetical,5U0P_R,0.4733,0.3556,"Mediator complex subunit 14, Mediator; transcription, transcriptional, Mediator, Head, Middle; 4.4A {Schizosaccharomyces pombe}",PF12685.8,0.4397,0.2810,SpoIIIAH ; SpoIIIAH-like protein,3JTZ_A,37.86,"Integrase; four stranded beta-sheet, DNA BINDING; 1.3A {Yersinia pestis}"
WP_010937551.1,DVU_RS01170,DVU0241,NifB/NifX family molybdenum-iron cluster-binding protein,1O13_A,0.7573,0.7051,"probable NifB protein that is; Ribonuclease h-like motif fold, structural; 1.83A {Thermotoga maritima} SCOP: c.55.5.1",PF09582.11,0.6923,0.4779,AnfO_nitrog ; Iron only nitrogenase protein AnfO (AnfO_nitrog),2QTD_A,99.83,"Uncharacterized protein MJ0327; Ribonuclease h-like motif fold, iron-molybdenum; HET: PG4; 1.7A {Methanocaldococcus jannaschii DSM 2661}"
WP_014524200.1,DVU_RS01180,NULL,hypothetical,6TNY_A,0.3066,0.1020,"DNA polymerase delta catalytic subunit; Protein, REPLICATION; HET: DOC, TTP; 3.08A {Homo sapiens}",PF02138.19,0.2863,0.2475,Beach ; Beige/BEACH domain,1UOY_A,20.35,"BUBBLE PROTEIN; EXUDATE PROTEIN, SULFUR PHASING, POTENTIAL; 1.5A {PENICILLIUM BREVICOMPACTUM} SCOP: g.3.19.1"
WP_010937554.1,DVU_RS01190,DVU0244,hypothetical,3UB6_A,0.5660,0.8581,"chemoreceptor TlpB; homodimer, four-helix bundle, PAS domain; HET: SO4, GOL; 1.38A {Helicobacter pylori}",PF08269.12,0.5502,0.5378,dCache_2 ; Cache domain,2F93_B,97.33,"Sensory rhodopsin II, Sensory rhodopsin; MENBRANE PROTEIN COMPLEX, SIGNAL TRANSDUCTION; HET: BOG, RET; 2.0A {Natronomonas pharaonis} SCOP: f.17.4.1"
WP_010937559.1,DVU_RS01220,DVU0250,hypothetical,6W6L_6,0.7007,0.7236,60S ribosome-TMCO1 translocon assembly; RIBOSOME-PROTEIN TRANSPORT complex; HET: MG; 3.84A {Homo sapiens},PF01956.17,0.6508,0.6255,EMC3_TMCO1 ; Integral membrane protein EMC3/TMCO1-like,5C8J_L,99.65,"Antibody Fab heavy chain, Antibody; membrane protein insertase, MEMBRANE PROTEIN; HET: LMT; 3.502A {Homo sapiens}"
WP_010937564.1,DVU_RS01235,DVU0255,hypothetical,1PWB_B,0.4313,0.4411,"Pulmonary surfactant-associated protein D; collectin, c-type lectin, alpha-helical coiled; HET: GLC; 1.4A {Homo sapiens} SCOP: h.1.1.1, d.169.1.1",PF15146.7,0.3782,0.2188,FANCAA ; Fanconi anemia-associated,6T1W_D,59.57,"Outer membrane protein assembly factor; beta barrel assembly, lipoprotein, stress; 3.79A {Escherichia coli K-12}"
WP_010937571.1,DVU_RS01295,DVU0262,hypothetical,1EF1_B,0.5051,0.3578,"CRYSTAL STRUCTURE OF THE MOESIN; membrane, FERM domain, Tail domain; HET: MSE, SO4; 1.9A {Homo sapiens} SCOP: d.15.1.4, a.11.2.1, b.55.1.5",PF07970.13,0.3697,0.3267,COPIIcoated_ERV ; Endoplasmic reticulum vesicle transporter,6VMI_m,13.04,"28S ribosomal protein S2, mitochondrial; mitochondrial elongation factor-G1, 55S ribosome; HET: Y5P, P5P, MG, GCP, GDP; 2.96A {Homo sapiens}"
WP_010937574.1,DVU_RS01310,DVU0265,hypothetical,3IR7_C,0.7689,0.7501,"Respiratory nitrate reductase 1 alpha; Oxidoreductase, Nitrate reductase, electron transfer; HET: HEM, FME, SF4, MD1, AGA; 2.5A {Escherichia coli K-12}",PF02665.15,0.7278,0.7189,Nitrate_red_gam ; Nitrate reductase gamma subunit,3EGW_C,99.88,"Respiratory nitrate reductase 1 alpha; OXIDOREDUCTASE, nitrate reduction, electron transfer; HET: 3PH, MD1, F3S, AGA, MGD, SF4, HEM; 1.9A {Escherichia coli}"
WP_010937575.1,DVU_RS01315,DVU0266,hypothetical,2YMU_B,0.7034,0.5395,"WD-40 REPEAT PROTEIN; UNKNOWN FUNCTION, TWO DOMAINS; 1.794A {NOSTOC PUNCTIFORME}",PF04762.13,0.6025,0.3156,IKI3 ; IKI3 family,5I2T_A,100.00,"Periodic tryptophan protein 2; ribosome biogenesis, WD, biosynthetic protein; 2.543A {Saccharomyces cerevisiae}"
WP_010937583.1,DVU_RS01340,DVU0274,hypothetical,4OC8_B,0.6952,0.2583,"restriction endonuclease AspBHI; DNA Cleavage, DNA Restriction Enzymes; HET: PO4; 2.884A {Azoarcus sp.}",PF09002.12,0.7104,0.2696,DUF1887 ; Domain of unknown function (DUF1887),3DNX_A,96.57,"uncharacterized protein SPO1766; structural genomics, APC88088, protein of; 1.94A {Silicibacter pomeroyi}"
WP_014524207.1,DVU_RS01370,NULL,hypothetical,5CW7_B,0.5049,0.4298,"PaaA2, Plasmid stabilization protein ParE; toxin-antitoxin, toxin; HET: GOL, MSE; 2.827A {Escherichia coli O157}",PF18879.1,0.5009,0.4695,EspA_EspE ; EspA/EspE family,4AYB_P,74.58,"DNA-DIRECTED RNA POLYMERASE (E.C.2.7.7.6); TRANSFERASE, MULTI-SUBUNIT, TRANSCRIPTION; HET: ZN; 3.202A {SULFOLOBUS SHIBATAE}"
WP_010937610.1,DVU_RS01505,DVU0303,hypothetical,6P7Z_A,0.8400,0.2305,"Histone-lysine N-methyltransferase SMYD3 (E.C.2.1.1.43); methyltransferase, oncology, inhibitor, TRANSFERASE-TRANSFERASE INHIBITOR; HET: SAM, O41; 1.19A {Homo sapiens}",PF10952.9,0.7546,0.5941,DUF2753 ; Protein of unknown function (DUF2753),2PZI_B,99.01,"Probable serine/threonine-protein kinase pknG (E.C.2.7.11.1); Serine/Threonine-Protein Kinase, ATP-recognition, Kinase-inhibitor complex; HET: AXX, GOL; 2.4A {Mycobacterium tuberculosis}"
WP_010937613.1,DVU_RS01520,DVU0306,hypothetical,4F3V_A,0.6340,0.4973,"ESX-1 secretion system protein EccA1; tetratricopeptide repeat, TPR domain, ATPase; HET: SO4; 2.0A {Mycobacterium tuberculosis}",PF13429.7,0.5418,0.4337,TPR_15 ; Tetratricopeptide repeat,4EQF_A,99.72,"PEX5-related protein, Potassium/sodium hyperpolarization-activated cyclic; Accessory protein, Tetratricopeptide repeat, TPR; 3.0A {Mus musculus}"
WP_010937627.1,DVU_RS01585,DVU0320,hypothetical,6DLC_A,0.4401,0.3790,"Designed protein DHD1:234_A, Designed protein; Computational Design, Heterodimer, Coiled-coil, DE; 3.261A {synthetic construct}",PF10752.10,0.4384,0.4438,DUF2533 ; Protein of unknown function (DUF2533),1ZVB_C,42.91,"E2 glycoprotein; SARS coronavirus, membrane fusion, S2; 1.7A {SARS coronavirus} SCOP: h.3.3.1"
WP_010937644.1,DVU_RS01655,DVU0337,hypothetical,3L7I_A,0.5683,0.5200,"Teichoic acid biosynthesis protein F; GT-B fold, monotopic membrane protein; HET: SO4, CL, EDO; 2.7A {Staphylococcus epidermidis}",PF00982.22,0.4962,0.6489,Glyco_transf_20 ; Glycosyltransferase family 20,4HWG_A,99.18,"UDP-N-acetylglucosamine 2-epimerase (E.C.5.1.3.14); SSGCID, UDP-N-acetylglucosamine 2-epimerase, epimerase, UDP; 2.0A {Rickettsia bellii}"
WP_014524219.1,DVU_RS01705,DVU0348,hypothetical,3Q3E_A,0.5950,0.5428,"HMW1C-like glycosyltransferase; HMW1C, HMW1, N-glycosylation, TRANSFERASE; HET: GOL; 2.1A {Actinobacillus pleuropneumoniae serovar 1}",PF16993.6,0.5353,0.5701,Asp1 ; Accessory Sec system protein Asp1,6MGC_A,99.01,"Capsule polysaccharide export protein KpsC; glycosyltransferase, cytosine monophosphate, TRANSFERASE; HET: C5P; 1.35A {Escherichia coli O1:K1 / APEC}"
WP_014524220.1,DVU_RS01735,DVU0354,YbaY family lipoprotein,4MKM_A,0.4138,0.3734,"Putative surface anchored protein; IgG-like fold, internal ester crosslink; 1.75A {Clostridium perfringens B}",PF16434.6,0.3940,0.3409,DUF5031 ; Domain of unknown function (DUF5031),5WEC_B,99.77,"Putative lipoprotein; GENERAL SECRETORY PATHWAY, PROTEIN TRANSPORT; 1.563A {Vibrio cholerae serotype O1}"
WP_010937679.1,DVU_RS01820,DVU0372,hypothetical,1KI1_D,0.4431,0.3381,"G25K GTP-binding protein, placental isoform/intersectin; Protein-Protein complex, DH domain, PH; HET: SO4; 2.3A {Homo sapiens} SCOP: b.55.1.1, a.87.1.1",PF06109.14,0.4041,0.3559,HlyE ; Haemolysin E (HlyE),3AJF_A,36.24,"Non-structural protein 3; RNA silencing suppression, negative strand; HET: MSE, SO4; 2.0A {Rice hoja blanca virus}"
WP_010937683.1,DVU_RS01840,DVU0376,hypothetical,3HD5_B,0.8057,0.4042,"Thiol:disulfide interchange protein dsbA; dsbA, Protein Structure Initiative II(PSI; HET: MSE; 2.35A {Bordetella parapertussis}",PF02966.17,0.7951,0.5623,DIM1 ; Mitosis protein DIM1,3KTB_A,99.39,"Arsenical resistance operon trans-acting repressor; alpha-beta-alpha sandwich, helix-turn-helix, Structural Genomics; HET: GOL; 2.1A {Bacteroides vulgatus}"
WP_010937690.1,DVU_RS01870,DVU0383,hypothetical,6ADQ_O,0.5656,0.3028,"Transmembrane cytochrome C oxidase subunit; Respiratory, Supercomplex, SOD, Mycobacterium, ETC; HET: HEC, 9YF, 9Y0, HEA, 9XX, MQ9, CDL, HEM, PLM; 3.5A {Mycobacterium smegmatis MC2 51}",PF09098.11,0.5103,0.4240,"Dehyd-heme_bind ; Quinohemoprotein amine dehydrogenase A, alpha subunit, haem binding",5N1T_B,98.76,"Cytochrome C, Uncharacterized protein; COPPER CHAPERONE, SULFIDE REDUCTASE, PERIPLASM; HET: HEC, FAD; 2.6A {Thioalkalivibrio paradoxus ARh 1}"
WP_014524228.1,DVU_RS01905,DVU0391,YaeQ family protein,3C0U_B,0.6503,0.8787,"Uncharacterized protein yaeQ; Escherichia coli, yaeQ, PSI-2, Protein; HET: SO4; 2.7A {Escherichia coli}",PF07152.13,0.6251,0.8936,YaeQ ; YaeQ protein,3C0U_A,100.00,"Uncharacterized protein yaeQ; Escherichia coli, yaeQ, PSI-2, Protein; HET: MSE, SO4; 2.7A {Escherichia coli}"
WP_010937706.1,DVU_RS01945,DVU0399,hypothetical,6O60_A,0.5067,0.3697,"Protein prenyltransferase alpha subunit repeat-containing; F-box, Leucine-rich repeat, GGTase subunits; 2.503A {Homo sapiens}",PF04632.13,0.4579,0.2491,FUSC ; Fusaric acid resistance protein family,3BEE_B,84.42,"Putative YfrE protein; putaive YfrE protein, Vibrio parahaemolyticus; HET: EDO, MSE; 2.15A {Vibrio parahaemolyticus RIMD 2210633}"
WP_010937707.1,DVU_RS01950,DVU0400,type I restriction enzyme HsdR N-terminal domain-containing protein,5HR4_J,0.6838,0.1675,"MmeI/DNA Complex; DNA-protein complex, Restriction-Modification enzyme, Hydrolase-DNA; HET: SFG; 2.5964A {Methylophilus methylotrophus}",PF15516.7,0.5830,0.6751,BpuSI_N ; BpuSI N-terminal domain,3H1T_A,99.29,"Type I site-specific restriction-modification system; hydrolase, restriction enzyme hsdR, ATP-binding; 2.3A {Vibrio vulnificus}"
WP_011792913.1,DVU_RS01955,NULL,hypothetical,3REB_D,0.4702,0.4637,"Protein Nef, Tyrosine-protein kinase HCK; HIV-1 Nef, SH3 domain binding; 3.45A {HIV-1 M:B_ARV2/SF2}",PF16826.6,0.4964,0.5117,DUF5076 ; Domain of unknown function (DUF5076),2KZK_A,59.98,"Uncharacterized protein YOL083W; Selective autophagy, Atg34, alpha-mannosidase, Atg19; NMR {Saccharomyces cerevisiae}"
WP_010937716.1,DVU_RS01995,DVU0409,hypothetical,5KP0_A,0.8632,0.7282,"Flagellar protein FliT,Flagellum-specific ATP synthase; flagella, chaperones, assembly factors, CHAPERONE; NMR {Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)}",PF05400.14,0.6463,0.8943,FliT ; Flagellar protein FliT,5KP0_A,99.76,"Flagellar protein FliT,Flagellum-specific ATP synthase; flagella, chaperones, assembly factors, CHAPERONE; NMR {Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)}"
WP_010937717.1,DVU_RS02000,DVU0410,hypothetical,4HWI_B,0.5860,0.6441,"Heat shock cognate 71 kDa; BAG domain, ubiquitin-like domain, co-chaperone; 2.273A {Homo sapiens}",PF03915.14,0.4846,0.2825,AIP3 ; Actin interacting protein 3,3CWI_A,93.02,"Thiamine-biosynthesis protein ThiS; alpha-beta protein, Structural Genomics, PSI-2; 1.9A {Geobacter metallireducens GS-15}"
