Query       	qlen	Templa	alnlen	Prob	E-value	SID	Neff	Description
WP_011792418.1	100	1X0G_C	96	99.81	6.7e-25	14%	9.04774	| IscA; [2Fe-2S], biosynthesis, cyanobacteria, domain swapping; 2.5A {Thermosynechococcus elongatus}
WP_010937972.1	256	5GVW_D	244	99.80	1.3e-24	12%	11.0564	| Glycosyl transferase family 8; the glycosyltransferase, serine-rich repeat protein; 2.4A {Streptococcus pneumoniae}
WP_010939117.1	354	5KEC_A	227	99.79	1.6e-24	15%	10.1346	| Flagellar brake protein YcgR; MrkH, K. pneumonia, biofilm, c-di-GMP; 1.949A {Klebsiella pneumoniae}
WP_010940013.1	1014	3O0F_A	291	99.79	1.6e-24	16%	5.8966	| putative metal-dependent phosphoesterase; STRUCTURAL GENOMICS, JOINT CENTER FOR; HET: AMP; 1.94A {Bifidobacterium adolescentis}
WP_014524341.1	315	4NV5_A	257	99.79	1.9e-24	14%	9.05999	| VKORC1/thioredoxin domain protein; four helix bundle, oxidoreductase, thioredoxin-like; HET: U10; 2.79A {Synechococcus sp.}
WP_010939536.1	604	3OY2_A	313	99.79	2.9e-24	9%	9.33912	| Glycosyltransferase B736L; Rossmann fold, glycosyltransferase, GDP-mannose, sugar; 2.31A {Paramecium bursaria Chlorella virus NY2A}
WP_010938416.1	115	1TD4_A	109	99.78	4e-24	19%	7.74994	| Head decoration protein; SHP, Viral protein; 1.5A {Enterobacteria phage P21} SCOP: b.85.2.1
WP_010937347.1	151	3LAY_H	145	99.78	4.1e-24	22%	10.8593	| Zinc resistance-associated protein; Zinc resistance-associated protein, Salmonella typhimurium; 2.7A {Salmonella enterica subsp. enterica serovar Typhimurium}
WP_014524458.1	225	4P72_A	220	99.78	4.4e-24	19%	8.4851	| Phenylalanine tRNA synthetase; Phenylalanine tRNA synthetase, PheRS, LIGASE-LIGASE; HET: 2NL; 2.62A {Pseudomonas aeruginosa}
WP_014524220.1	301	5WEC_B	115	99.77	6.1e-24	40%	4.79308	| Putative lipoprotein; GENERAL SECRETORY PATHWAY, PROTEIN TRANSPORT; 1.563A {Vibrio cholerae serotype O1}
WP_010937838.1	226	1Q16_C	184	99.77	8.6e-24	22%	8.73019	| Respiratory nitrate reductase 1 alpha; membrane protein, electron-transfer, OXIDOREDUCTASE; HET: MD1, 3PH, FME, SF4, HEM, AGA; 1.9A {Escherichia coli} SCOP: f.21.3.1
WP_011176692.1	69	2Q1K_C	65	99.77	9.5e-24	23%	7.01784	| AscE; helix-turn-helix, Chaperone, TTSS; HET: MSE; 2.7A {Aeromonas hydrophila}
WP_010937716.1	116	5KP0_A	116	99.76	1.5e-23	11%	7.75201	| Flagellar protein FliT,Flagellum-specific ATP synthase; flagella, chaperones, assembly factors, CHAPERONE; NMR {Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)}
WP_010938727.1	121	3BY7_A	96	99.76	1.8e-23	23%	6.33557	| uncharacterized protein; METAGENOMICS, STRUCTURAL GENOMICS, JOINT CENTER; HET: MSE; 2.6A {uncultured marine organism}
WP_010939011.1	184	6E1X_D	171	99.74	5.8e-23	11%	11.9043	| Ornithine aminotransferase, mitochondrial (E.C.2.6.1.13); SpeG, polyamine, GNAT, N-acetyltransferase, Structural; HET: TRS, MPD, SPM, HLG, MRD, SP5; 1.35A {Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)}
WP_010940223.1	219	6DK7_B	177	99.74	7.9e-23	13%	11.6276	| RetS (Regulator of Exopolysaccharide and; Histidine kinase, Inhibitor, Signaling protein; HET: CO; 2.6A {Pseudomonas aeruginosa}
WP_010940125.1	185	3FZ2_J	131	99.73	9e-23	19%	9.54568	| Minor tail protein U; Mixed Alpha-Beta fold, VIRAL PROTEIN; HET: SO4, MSE; 2.7A {Enterobacteria phage lambda}
WP_010937518.1	185	3FZ2_J	131	99.73	1.4e-22	18%	9.54825	| Minor tail protein U; Mixed Alpha-Beta fold, VIRAL PROTEIN; HET: SO4, MSE; 2.7A {Enterobacteria phage lambda}
WP_010938420.1	206	3F1Z_A	124	99.72	1.4e-22	20%	9.46261	| putative nucleic acid-binding lipoprotein; YP_001337197.1, putative nucleic acid-binding lipoprotein; HET: MSE, PEG; 2.46A {Klebsiella pneumoniae subsp. pneumoniae MGH 78578}
WP_010939005.1	133	3J4U_L	120	99.72	1.7e-22	20%	7.32568	| major capsid protein, cementing protein; protein topology, cryoEM, VIRUS; 3.5A {Bordetella phage BPP-1}
WP_011792315.1	196	4UU4_A	161	99.72	1.7e-22	19%	10.8309	| PERIPLASMIC LIPOPOLYSACCHARIDE TRANSPORT PROTEIN LPTH; TRANSPORT PROTEIN, LPTH, LPTA, LPS; 2.751A {PSEUDOMONAS AERUGINOSA}
WP_010937613.1	205	4EQF_A	194	99.72	2.8e-22	14%	12.3879	| PEX5-related protein, Potassium/sodium hyperpolarization-activated cyclic; Accessory protein, Tetratricopeptide repeat, TPR; 3.0A {Mus musculus}
WP_014524635.1	64	2VT1_B	64	99.71	3.4e-22	8%	6.69342	| SURFACE PRESENTATION OF ANTIGENS PROTEIN; SHIGELLA FLEXNERI, SPECIFICITY SWITCH, VIRULENCE; 2.0A {SHIGELLA FLEXNERI}
WP_010938873.1	279	3WJT_A	176	99.71	4.2e-22	13%	12.029	| Outer-membrane lipoprotein LolB; LolA/B Fold, Outer membrane, TRANSPORT; HET: SO4; 1.55A {Escherichia coli}
WP_011791684.1	295	5X4T_A	249	99.70	4.8e-22	18%	9.93577	| Photoactivated adenylyl cyclase; cAMP, BLUF domain, optogenetics, photoactivation; HET: FMN; 1.601A {Cyanobacteria}
WP_010938780.1	142	3H41_A	119	99.70	6.1e-22	20%	11.4782	| NLP/P60 family protein, Water; NLPC/P60 FAMILY PROTEIN, STRUCTURAL GENOMICS; HET: PG4, DGL; 1.79A {Bacillus cereus ATCC 10987}
WP_010939994.1	118	6U5K_B	108	99.68	1.8e-21	21%	10.0718	| Sheath PA0622, Glue PA0627, Tri1a; bacteriocin, pyocin, ANTIMICROBIAL PROTEIN; 3.5A {Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)}
WP_010937746.1	96	1MWQ_A	85	99.67	2.3e-21	25%	9.44442	| HYPOTHETICAL PROTEIN HI0828; HI0828, YCII_HAEIN, hypothetical protein, structural; HET: MSE, 1PE; 0.99A {Haemophilus influenzae} SCOP: d.58.4.7
WP_010938670.1	76	1ZHC_A	72	99.66	4e-21	22%	7.15669	| hypothetical protein HP1242; a-helical protein, UNKNOWN FUNCTION; NMR {Helicobacter pylori}
WP_010937559.1	195	5C8J_L	164	99.65	4.6e-21	9%	7.71207	| Antibody Fab heavy chain, Antibody; membrane protein insertase, MEMBRANE PROTEIN; HET: LMT; 3.502A {Homo sapiens}
WP_010940279.1	122	1VR4_D	73	99.65	5.2e-21	30%	6.63501	| hypothetical protein APC22750; Structural Genomics, Pentamer, Hypothetical Protein; 2.09A {Bacillus cereus} SCOP: d.230.5.1
WP_010937517.1	108	1K0H_A	106	99.65	5.3e-21	19%	9.34192	| gpFII; twisted beta-sandwich, Viral protein; NMR {Enterobacteria phage lambda} SCOP: b.106.1.2
WP_010940415.1	480	1U2E_A	285	99.65	5.4e-21	13%	11.6157	| 2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase(E.C.3.7.1.-); ALPHA/BETA HYDROLASE FOLD, hydrolase; 2.1A {Escherichia coli}
WP_010939692.1	109	1MWQ_A	87	99.64	7.4e-21	10%	9.61535	| HYPOTHETICAL PROTEIN HI0828; HI0828, YCII_HAEIN, hypothetical protein, structural; HET: MSE, 1PE; 0.99A {Haemophilus influenzae} SCOP: d.58.4.7
WP_010939932.1	158	2NO5_B	154	99.65	7.8e-21	14%	11.7787	| (S)-2-haloacid dehalogenase IVA (E.C.3.8.1.2); Haloacid dehalogenase, Dehalogenase, HAD Superfamily; HET: SO4, ASL, CNR; 2.6A {Burkholderia cepacia}
WP_010938264.1	58	6AZ1_c	58	99.63	1.5e-20	24%	7.58127	| Ribosomal protein s1e, ribosomal protein; Leishmania donovani, ribosome, aminoglycoside, paromomycin; HET: OMU, C4J, M1Y, MIA, OMC, 4OC, A2M, 5MC, OMG, PAR, MG, MA6, 7MG;{Leishmania donovani}
WP_010939481.1	223	1ZR2_A	178	99.62	1.8e-20	13%	10.2143	| Transposon gamma-delta resolvase/DNA Complex; resolvase, site-specific, recombination, flat interface; 3.9A {Escherichia coli} SCOP: c.53.1.1, a.4.1.2
WP_014524598.1	623	5EZM_A	465	99.62	2e-20	11%	11.3827	| 4-amino-4-deoxy-L-arabinose (L-Ara4N) transferase; membrane protein, lipid glycosyltransferase, zinc; HET: EPE, PC, PO4, MPG, DSL; 2.7A {Cupriavidus metallidurans (strain ATCC 43123 / DSM 2839 / NBRC 102507 / CH34)}
WP_014524532.1	350	6OV6_A	252	99.62	2.2e-20	10%	9.68414	| C24 PROTEIN; FIBER, VIRAL ORIGIN, UNKNOWN FUNCTION; 1.82A {Bizionia argentinensis JUB59}
WP_010940423.1	286	3MEM_A	226	99.62	2.3e-20	11%	10.3725	| Putative signal transduction protein; Structural Genomics, Joint Center for; HET: FMT; 2.25A {Marinobacter aquaeolei}
WP_010938518.1	175	2PT5_D	135	99.62	2.5e-20	14%	11.41	| Shikimate kinase (E.C.2.7.1.71); Aromatic amino acid biosynthesis, Kinase; HET: MSE; 2.1A {Aquifex aeolicus}
WP_010938118.1	155	6XBD_E	152	99.61	2.9e-20	15%	9.20909	| Phospholipid ABC transporter-binding proteins; lipid transport, bacterial cell envelope; HET: PEF;{Escherichia coli DEC6A}
WP_010940332.1	303	4B17_A	287	99.61	3.5e-20	24%	9.00426	| RIBOSOMAL RNA LARGE SUBUNIT METHYLTRANSFERASE; TRANSFERASE; HET: SAM, GOL, SO4, EDO; 2.6A {ESCHERICHIA COLI}
WP_010939870.1	133	3J4U_L	124	99.58	8e-20	20%	7.48421	| major capsid protein, cementing protein; protein topology, cryoEM, VIRUS; 3.5A {Bordetella phage BPP-1}
WP_014524535.1	252	5IX3_A	163	99.55	2.1e-19	10%	9.11105	| Diamine N-acetyltransferase (E.C.2.3.1.57); N-acetyltransferase, GNATs, SPEG, Staphylococcus aureus; 1.81A {Staphylococcus aureus}
WP_010939013.1	202	4DYQ_B	139	99.55	2.9e-19	18%	9.85935	| Gene 1 protein; gp1, octamer, DNA-binding, VIRAL PROTEIN; 1.502A {Shigella phage Sf6}
WP_011176625.1	438	3VPC_A	276	99.55	3e-19	11%	10.17	| Putative acetylornithine deacetylase (E.C.3.5.1.16); ATP-dependenet amine/thiol ligase family, ATP-dependenet; HET: ADP; 1.87A {Sulfolobus tokodaii}
WP_010939313.1	423	3SM4_C	198	99.54	3.3e-19	11%	10.1681	| Exonuclease (E.C.3.1.11.3)/DNA complex; homologous recombination, DNA repair, recombineering; HET: PO4; 1.88A {Enterobacteria phage lambda}
WP_150103623.1	299	1REP_C	223	99.53	4.4e-19	10%	8.68443	| REPLICATION INITIATION PROTEIN/DNA COMPLEX; REPLICATION INITIATOR, DNA-BINDING,, REPLICATION-DNA COMPLEX; 2.6A {Escherichia coli} SCOP: a.4.5.10
WP_010937447.1	72	4HRS_A	66	99.51	1.1e-18	23%	10.2228	| Small archaeal modifier protein 2; beta-grasp fold  beta-hinge motif; 2.3A {Haloferax volcanii DS2}
